State,City,Accommodation_Daily,Food_Daily,Transport_Daily,Expenditure_Daily,Description,Image_URL,Rating,Distance_Hub,Travel_Type,Local_Dish
Kuala Lumpur,Kuala Lumpur District 1,310,113,42,50,A beautiful spot in Kuala Lumpur perfect for Nature.,https://picsum.photos/seed/Kuala Lumpur1/400/250,4.3,125,Leisure,Cendol
Kuala Lumpur,Kuala Lumpur District 2,115,109,27,50,A beautiful spot in Kuala Lumpur perfect for Nature.,https://picsum.photos/seed/Kuala Lumpur2/400/250,4.3,48,History,Cendol
Kuala Lumpur,Kuala Lumpur District 3,361,45,15,50,A beautiful spot in Kuala Lumpur perfect for Nature.,https://picsum.photos/seed/Kuala Lumpur3/400/250,4.8,81,Foodie,Satay
Kuala Lumpur,Kuala Lumpur District 4,321,110,41,50,A beautiful spot in Kuala Lumpur perfect for Adventure.,https://picsum.photos/seed/Kuala Lumpur4/400/250,4.4,20,Adventure,Cendol
Kuala Lumpur,Kuala Lumpur District 5,102,107,16,50,A beautiful spot in Kuala Lumpur perfect for History.,https://picsum.photos/seed/Kuala Lumpur5/400/250,3.8,76,Leisure,Cendol
Kuala Lumpur,Kuala Lumpur District 6,306,115,19,50,A beautiful spot in Kuala Lumpur perfect for Foodie.,https://picsum.photos/seed/Kuala Lumpur6/400/250,3.8,81,Leisure,Roti Canai
Kuala Lumpur,Kuala Lumpur District 7,212,37,29,50,A beautiful spot in Kuala Lumpur perfect for Nature.,https://picsum.photos/seed/Kuala Lumpur7/400/250,3.5,12,Nature,Roti Canai
Kuala Lumpur,Kuala Lumpur District 8,285,58,17,50,A beautiful spot in Kuala Lumpur perfect for Adventure.,https://picsum.photos/seed/Kuala Lumpur8/400/250,3.8,90,Leisure,Nasi Lemak
Kuala Lumpur,Kuala Lumpur District 9,65,83,34,50,A beautiful spot in Kuala Lumpur perfect for Adventure.,https://picsum.photos/seed/Kuala Lumpur9/400/250,4.2,112,Leisure,Nasi Lemak
Kuala Lumpur,Kuala Lumpur District 10,60,43,37,50,A beautiful spot in Kuala Lumpur perfect for Modern.,https://picsum.photos/seed/Kuala Lumpur10/400/250,4.2,34,History,Cendol
Kuala Lumpur,Kuala Lumpur District 11,256,64,70,50,A beautiful spot in Kuala Lumpur perfect for Modern.,https://picsum.photos/seed/Kuala Lumpur11/400/250,4.9,97,History,Cendol
Kuala Lumpur,Kuala Lumpur District 12,144,89,32,50,A beautiful spot in Kuala Lumpur perfect for Modern.,https://picsum.photos/seed/Kuala Lumpur12/400/250,3.8,17,Foodie,Cendol
Kuala Lumpur,Kuala Lumpur District 13,136,59,12,50,A beautiful spot in Kuala Lumpur perfect for Modern.,https://picsum.photos/seed/Kuala Lumpur13/400/250,4.9,28,Modern,Laksa
